page_title,text_content
LST: Génie Civil – FST,"OBJECTIFS
PROGRAMME
COMPETENCES VISEES ET DEBOUCHES
COORDINATEUR
Former les étudiants aux sciences mécaniques en général et au génie civil en particulier ;
Doter les étudiants des outils théoriques, numériques et pratiques pour les applications de la Mécanique aux technologies du Génie Civil et aux techniques de la mécanique des structures ;
Dispenser une formation fondamentale en mécanique des structures et en Génie Civil leur permettant la poursuite des études.
Semestre 5
• Mécanique des milieux continus et Outils Techniques en Génie Civil
• Résistance des matériaux
• Béton armé
• Mécanique des sols et notions de base de la géotechnique
• Matériaux de construction
• Méthodes numériques et calcul scientifique
Semestre 6
• Analyse et calcul des structures
• Électricité du bâtiment
• Hydraulique et Assainissement
• Projet de fin d’études
La licence Génie Civil conduit vers un Master ou une formation d’ingénieur. Elle permet également                   une insertion professionnelle, grâce aux différentes compétences acquises durant ce parcours.
Cette insertion peut être dans des secteurs d’activités, comme des bureaux d’études ‘en Génie Civil, en environnement, en aménagement… etc), des entreprises du secteur du bâtiment et des travaux publics, des cabinets de maîtrise d’œuvre, des services de maîtrise d’œuvre, des services d’ouvrages ou de bureaux de contrôle technique.
Coordinnateur pédagogique
: Pr.MABSSOUT Mokhtar
:  mmabssout@uae.ac.ma"
LST 8 : Génie des Procédés – FST,"OBJECTIFS
PROGRAMME
COMPETENCES VISEES ET DEBOUCHES
COORDINATEUR
Formation visant à donner aux étudiants des bases solides en chimie, physique, mathématiques, informatique et de gestion des procédés industriels. Les lauréats de la formation seront capables de conduire des ateliers de fabrication continue et séquentielle, de manager une équipe, de connaître et de prendre en compte les contraintes de sécurité, d’environnement et de l’organisation scientifique du travail.
Semestre 5
• Calculs des réacteurs
• Bilan Matière et Énergie
• Opérations Unitaires
• Mécanique des fluides et Hydraulique
• Optimisation des Procédés Industrielle
• Modélisation des processus et Régulation des Procédés
Semestre 6
• Matériaux et Industrie chimique
• Procédés de Dépollution
• Valorisation des Ressources
• Projet de fin d’études
Mettre l’étudiant au cœur des problèmes technologique réel qu’il devra résoudre.
Le futur lauréat doit convaincre le secteur industriel et laboratoires de ses capacités scientifiques, multidisciplinaires, décisionnelles et organisationnelles.
Coordinnateur pédagogique
: Pr.AZAAR Khalid
:  k.azaar@uae.ac.ma"
LST: Génie Electrique Option: GénieElectrique & Système Industriel – FST,"OBJECTIFS
PROGRAMME
COMPETENCES VISEES ET DEBOUCHES
COORDINATEUR
L’objectif de la licence Génie électrique est de donner aux étudiants les éléments de base en physique mathématique et informatique et de leur apporter une formation solide dans les domaines du génie électrique, en particulier en électronique électrotechnique. Ce qui leur permettra de préparer un master à dominante ingénierie EEA ou d’intégrer les grandes écoles d’ingénieurs. Ils pourront aussi se présenter aux différentes fonctions publiques ou privées exigeant le niveau de la licence.
Les étudiants sont également initiés à la vie professionnelle par le biais de stages au sein des entreprises.
Semestre 5
• Traitement de signal & Télécommunication
• Actionneurs industriels
• Électronique et systèmes
• Automatismes
• Électronique de puissance
• Gestion de maintenance et sûreté de fonctionnement
Semestre 6
• Management du projet
• Microcontrôleur microprocesseur
• Réseaux et base de données
• Projet de fin d’études
Elles sont complémentaires et transversales à beaucoup de domaines :
Électronique de contrôle, de mesure et de commande.
Traitement et analyse du signal.
Principe de fonctionnement et le domaine d’application des machines électriques.
Électronique de puissance.
Automates programmables.
Techniques de commande de processus industriels.
Systèmes à microprocesseur.
Réseaux informatique.
Bases de données.
Gestion de la maintenance.
Coordinnateur pédagogique
: Pr. Mekrini Zineb
:  zmekrini@uae.ac.ma"
LST : Génie Industriel – FST,"OBJECTIFS
PROGRAMME
COMPETENCES VISEES ET DEBOUCHES
COORDINATEUR
Cette formation pluridisciplinaire garantit l’ouverture d’esprit nécessaire pour appréhender et dominer les problèmes concernant un projet industriel dont l’aspect technique ne constitue qu’une partie parmi d’autres.
L’étudiant disposant d’une licence Sciences et techniques Génie Industriel pourra poursuivre ses études supérieures dans les différentes grandes écoles ou bien en Master Science et Techniques. Il pourra aussi intégrer le tissu industriel essentiellement les PME/PMI.
Semestre 5
• Machines Hydrauliques
• Gestion de production
• Machines Thermiques
• Gestion de la qualité
• Gestion de la maintenance et sureté de fonctionnement
• Matériaux et RDM
Semestre 6
• Logistique et Supply Chain Management
• Optimisation des Systèmes
• Management de projet
• Projet de fin d’études
Métiers de l’ingénieur : Production ; Méthodes ; Maintenance ; Management de la qualité.
Poursuite des études en Master ou en cycle d’ingénieur.
Coordinnateur pédagogique
: Pr.Hassan El M’rabet
: helmramet@uae.ac.ma"
LST: Génie Informatique – FST,"OBJECTIFS
PROGRAMME
COMPETENCES VISEES ET DEBOUCHES
COORDINATEUR
Avoir une culture de base scientifique ;
Acquérir une base solide dans les axes majeurs et fondamentaux de la discipline informatique : Algorithmique, Programmation, Bases de Données, Technologies Web, Systèmes d’Exploitation et Réseaux Informatiques, ... ;
Développer un savoir-faire technique en informatique : technologie objet, informatique distribuée, architectures client-serveur et n-tiers, applications hétérogènes, … ;
Semestre 5
• Programmation Orientée Objet en C++
• Bases de Données
• Architecture C/S et Développement Web Dynamique
• Introduction aux Réseaux Informatiques
• Système d’exploitation UNIX/Linux
• TEC & Anglais
Semestre 6
• Modélisation UML
• Programmation Orientée Objet en Langage JAVA
• Les Réseaux TCP/IP
• Projet de fin d’études
Technicien supérieur en développement d’application en C++ et JAVA ; Technicien supérieur en réseaux locaux ; Technicien supérieur en SGBD-R : installation, configuration et administration des SGBD ; WebMaster et développeur des sites web dynamiques, ...
Les orientations potentielles de poursuite des études sont de type : Masters à dominance informatique, Masters orientés e-Technologies, Masters à dominance automatique ou informatique industrielle ou informatique décisionnelle et Formations d’ingénieurs.
Coordinnateur pédagogique
: Pr.Boudhir Anouar Abdelhakim
: aboudhir@uae.ac.ma"
LST: Géosciences Appliquées – FST,"OBJECTIFS
PROGRAMME
COMPETENCES VISEES ET DEBOUCHES
COORDINATEUR
Cette licence mettra l’accent sur trois aspects fondamentaux :
Compléter la formation du premier cycle (acquisition des méthodes et concepts généraux).
Apporter aux étudiants à la fois une formation solide et équilibrée combinant outils théoriques, expérimentaux et techniques diversifiés liés aux Sciences de la Terre et de l’Environnement.
Préparer les étudiants à la vie active ou à la poursuite des études supérieures.
Semestre 5
• Pétrographie/Minéralogie
• Environnements sédimentaires
• Élément de  tectonique/Domaines structuraux du Maroc
• Ressources hydriques
• Géochimie et pollution urbaine
• Pédologie
Semestre 6
• Traitement des données géologiques
• Cartographie numérique
• Géologie appliquée
• Projet de fin d’études
Poursuite  des  études  supérieures  en Sciences de la Terre et de l’Environnement (Master, Doctorat). Intégrer le marché du travail dans le domaine de :
L’expertise et Cartographie.
La Géotechnique et Géo-matériaux (achat et vente du matériel de génie géologique).
L’environnement (technicien de l’environnement).
Coordinnateur pédagogique
: Pr.Wahbi Miriam
:  mwahbi@uae.ac.ma"
LST : Ingénierie de développement d’applications informatiques – FST,"OBJECTIFS
PROGRAMME
COMPETENCES VISEES ET DEBOUCHES
COORDINATEUR
La Licence Science et Technique permet en Ingénierie de développement d’applications informatiques aux étudiants :
d'avoir une culture de base scientifique,
d’acquérir une base solide dans les axes majeurs et fondamentaux de la discipline informatique : algorithmique, programmation, bases de données, systèmes d’exploitations et réseaux.
de développer un savoir-faire technique en informatique : technologie objet, informatique distribuée, architectures client-serveur et n-tiers, applications hétérogènes...
d’améliorer leur niveau d’anglais
d’avoir une culture d’entreprise suffisante pour se faire une idée concrète sur le monde du travail.
Semestre 5
• Modélisations avancée et Méthodes de génie logiciel
• Développement Web
• Base de données Structurées et non Structurées
• Programmation Orientée Objet en C++/Java
• Systèmes et réseaux informatiques
• Développement de soft skills
Semestre 6
• Innover, Entreprendre et s’initier à la Gestion d'une Entreprise avec un ERP
• Initiation en développement mobile et Edge Computing
• Développement web avancé Back end (Python)
• PFE
Technicien supérieur en développement d’application en C++ et JAVA
Technicien supérieur en réseaux locaux : installation, configuration et administration des réseaux locaux
Technicien supérieur en SGBD R : installation, configuration et administration des SGBD
WebMaster et développeur de sites web dynamiques
Poursuivre des études supérieures en Informatique
Coordinnateur
: Pr.KOUNAIDI Mohamed
:  m.kounaidi@@uae.ac.ma"
LST: Ingénierie Statistique – FST,"OBJECTIFS
PROGRAMME
COMPETENCES VISEES ET DEBOUCHES
COORDINATEUR
Permettre aux étudiants d’acquérir des connaissances mathématiques fondamentales et appliquées.
Apporter aux étudiants une formation solide en statistique, tout en leur permettant  d’acquérir une culture scientifique générale pour favoriser leur intégration dans leur futur environnement.
Développer les aspects théoriques par des enseignements adaptés (cours, travaux dirigés, étude de cas, mini projets) et des aspects pratiques par des études de problèmes concrets de la statistique appliquée (stages en entreprise, visites et projets de fin d’études).
Utiliser efficacement l’outil informatique et les logiciels statistiques.
Former des jeunes diplômés, aptes à répondre aux besoins des entreprises dans le domaine du traitement statistique de l’information et des techniques d’aide à la décision.
Préparer les étudiants aux carrières de recherche universitaire.
Semestre 5
• Topologies dans les espaces métriques
• Intégration
• Probabilités avancées
• Recherche Opérationnelle
• Concept de base de Programmation avancée C++
• Analyse des données
Semestre 6
• Statistique Mathématique
• MSP
• Régression–Anova
• Projet de fin d’études
Formation académique en mathématiques fondamentales et statistiques mathématiques offrant ainsi la possibilité de poursuivre les études en Master fondamental ou professionnel.
Maîtrise de l’outil informatique et les logiciels statistiques spécialisés.
Capacité à concevoir et à mener des études statistiques offrant des perspectives professionnelles dans différents secteurs socio-économiques et industriels.
Coordinnateur pédagogique
: Pr.El Merzguioui Mhamed
:  melmerzguioui@uae.ac.ma"
LST: Mathématiques et Applications – FST,"OBJECTIFS
PROGRAMME
COMPETENCES VISEES ET DEBOUCHES
COORDINATEUR
Acquérir une double compétence mathématiques et informatique grâce à laquelle ils aborderont les problèmes de modélisation et de simulation scientifique sous tous leurs aspects, de la conception à la mise en oeuvre numérique.
L’accent est donc mis à la fois sur des techniques d’ingénierie mathématiques et sur les langages de programmation et les outils algorithmiques.
Semestre 5
• Topologies dans les espaces métriques
• Intégration
• Probabilités avancées
• Recherche Opérationnelle
• Concepts de base de programmation orientée C
• Analyse numérique matricielle
Semestre 6
• Calcul différentiel et équations différentielles
• Topologie générale et distributions
• Analyse numérique des équations différentielles
• Projet de fin d’études
Cette licence a pour débouchés :
Les entreprises et les bureaux d’études ;
La poursuite des études en cycle ingénieur ;
La poursuite des études en cycle Master ;
L’enseignement public ou privé.
Coordinnateur pédagogique
: Pr.Lahrouz Adil
:  a.lahrouz1@uae.ac.ma"
LST : Mathématiques et Informatique Décisionnelles – FST,"OBJECTIFS
PROGRAMME
COMPETENCES VISEES ET DEBOUCHES
COORDINATEUR
Maîtriser et mettre en œuvre des outils et méthodes mathématiques de haut
Former des jeunes diplômés, aptes à répondre aux besoins du milieu socio-économique dans le domaine du traitement de l’information et des techniques d’aide à la décision.
Utiliser efficacement l’outil informatique et les
Préparer les étudiants aux carrières de recherche
Semestre 5
• Base de données Relationnelles et Nosql
• POO/ Développement web
• Intégration et Probabilités
• Topologie et Calcul différentiel
• Optimisation non linéaire et recherche opérationnelle
• Anglais et Management de Projet
Semestre 6
• PYTHON ET MACHINE LEARNING
• Mathématiques pour l'Intelligence Artificiel
• Analyse numérique et équations différentielles
• PFE
Master de mathématiques et informatique (fondamental, spécialisé ou professionnel) dans une université marocaine ou étrangère.
Intégration (sur concours ou dossier) des écoles d'ingénieurs
Administration
Industries et commerce
Sociétés financières.
Bureaux d’études
Coordinnateur
: Pr.LAHROUZ Adil
:  a.lahrouz@uae.ac.ma"
LST: Risques et Ressources Naturels – FST,"OBJECTIFS
PROGRAMME
COMPETENCES VISEES ET DEBOUCHES
COORDINATEUR
Le Maroc est exposé, vu sa position géographique et spécifications géologiques, à la production d’éventuelle catastrophes naturelles, en particulier les séismes, les inondations, les crus torrentielle, le risque hydrique, etc. c’est devenu un sujet de préoccupation en raison de l’impact de ces phénomènes sur le plan socioéconomique. A cet effet, le Maroc a adopté le plan d’action national pour la gestion des risques de catastrophes naturelles couvrant essentiellement 4 types de catastrophes : les tsunamis, l’érosion des sols, les séismes, et les inondations. Sans oublier que la menace de ces catastrophes croit avec le changement climatique et le développement démographique. Ces derniers, influent également sur les réserves des ressources naturelles du pays d’une manière flagrante, les exposant ainsi au risque d’épuisement. En effet, là il s’agit d’un autre risque qui menace le secteur socioéconomique du pays. Ainsi, pour faire face à cette menace, et dans une optique de la mise en œuvre des ODD pour l’horizon 2030, le Maroc adopte la Charte Nationale de l’Environnement et du Développement Durable qui a été concrétisée entre autres grâce à la Stratégie nationale de la protection de l’environnement (SNPE) et la Stratégie nationale de développement durable (SNDD). Cette dernière a entrainé la prise en compte de divers stratégie et plans mis en place comme le Plan Maroc Vert, Stratégie énergétique, Plan Halieutis, etc.
Cette formation vient alors pour répondre à un besoin important en compétences maitrisant d’une part les différentes techniques de diagnostic des risques et d’identification de leurs aléas et enjeux, etc. D’autre part, cette filière vise à fournir aux acteurs socioéconomiques des compétences en matière d’évaluation des ressources naturelles, estimation des gisements, méthodes d’exploitation avec une gestion rationnelle et durable.
Semestre 5
• Risques et ressources naturels
• Techniques géophysiques/géotechniques/géochimiques
• Techniques géomatiques
• Informatiques
• Modélisation et analyse de données
• Soft Skills
Semestre 6 ( Option :
Risques naturels
)
• Risques géologiques
• Risques hydroclimatiques
• Risques naturels et aménagement
• Projet de fin d’études
Semestre 6 ( Option :
Ressources naturelles
)
• Géoressources Naturelles
• Bioressources Naturelles
• Valorisation et durabilité des ressources
• Projet de fin d’études
La formation entend fournir aux étudiants une possibilité d’une insertion professionnelle :
Observatoire National des Risques Naturels,
Bureaux d’étude,
Laboratoire d’étude (LPEE),
Organismes gestionnaires des ressources hydriques, de sols, minières, ,
Les institutions administratives et professionnelles,
Les institutions de recherche scientifique et technique,
Etc.
Coordinnateur
: Pr.Bouzid Saida
: sbouzid@uae.ac.ma"
LST : Statistique et Science des données – FST,"OBJECTIFS
PROGRAMME
COMPETENCES VISEES ET DEBOUCHES
COORDINATEUR
Permettre aux étudiants d’acquérir des connaissances en mathématiques fondamentales et appliquées et aussi en sciences des données et informatique.
Apporter aux étudiants une formation solide en statistique et science des données, tout en leur permettant d’acquérir une culture scientifique générale pour favoriser leur intégration dans leur futur
Développer les aspects théoriques par des enseignements adaptés (cours, travaux dirigés, étude de cas, mini projets) et des aspects pratiques par des études de problèmes concrets de la statistique, Science des donnée et informatique (stages en entreprise, visites et projets de fin d’études).
Utiliser efficacement l’outil informatique et les logiciels
Former des jeunes diplômés, aptes à répondre aux besoins des entreprises dans le domaine du traitement statistique de l’information et des techniques d’aide à la décision.
Préparer les étudiants aux carrières de recherche
Semestre 5
• Base de données Relationnelles et NoSQL
• Programmation orientée objet et Développement Web
• Statistique Inférentielle et Recherche Opérationnelle
• Intégration et Probabilités
• Analyse des Données et Datamining
• Anglais et Management de Projet
Semestre 6
• Programmation Python et Machine Learning
• Mathématiques pour l’Intelligence Artificielle
• Régression – Anova et Maîtrise Statistique des Procédés
• PFE
Master de mathématiques et informatique (fondamental, spécialisé ou professionnel) dans une université marocaine ou étrangère.
Intégration (sur concours ou dossier) des écoles d'ingénieurs
Administration
Industries et commerce
Sociétés financières.
Bureaux d’études
Coordinnateur
: Pr.EL MERZGUIOUI Mhamed
:  melmerzguioui@uae.ac.ma"
LST: Techniques d’Analyses Chimiques – FST,"OBJECTIFS
PROGRAMME
COMPETENCES VISEES ET DEBOUCHES
COORDINATEUR
Apporter aux étudiants des connaissances théoriques en chimie de base et de comprendre les principes des techniques physico-chimiques et instrumentales, leurs domaines d'application et spécificités, savoir les appliquer à des cas concrets  en analyse et contrôle.
Comprendre comment l’analyse chimique est appliquée dans les domaines pharmaceutiques, alimentaires, environnementaux ; Posséder des notions sur les réglementations, les normes, le risque chimique, la sécurité des produits, leur importance dans l’industrie.
Maîtriser les tableurs en chimie analytique ; Maîtrise de l'outil statistique.
Permettre aux étudiants de construire leur projet de formation, en leur offrant particulièrement des enseignements permettant un accès à des cycles diversifiés (Masters, filières d’ingénieurs…)
Semestre 5
• Chimie organique avancée
• Chimie inorganique
• Thermochimie, Cinétique et Catalyse
• Electrochimie et Méthodes électro-analytiques
• Méthodes Spectroscopiques
• Techniques d’analyse inorganiques
Semestre 6
• Techniques Séparatives
• Chimie et analyse des eaux
• Assurance qualité dans les laboratoires d’analyses chimiques
• Projet de fin d’études
Les diplômés issus de cette formation seront capables de:
- Maîtriser les différentes techniques d’analyses chimiques;
- Acquérir les bonnes pratiques de laboratoire;
- Se familiariser avec les méthodes instrumentales les plus courantes dans les laboratoires d’analyse;
- Avoir une idée sur les normes, les certifications, les systèmes de management;
- Savoir la pratique de l’assurance qualité dans un laboratoire d’analyse.
Coordinnateur pédagogique
: Pr.Chabbi Mohamed
:  Jbilou Mohammed"
CYCLE INGÉNIEUR – FST,"DI: Génie Electrique et Management Industriel
DI: Génie Industriel
DI: Géoinformation
Logiciels et Systèmes Intelligents"
DI:Génie Electrique et ManagementIndustriel – FST,"OBJECTIFS
PROGRAMME
COMPETENCES VISEES ET DEBOUCHES
COORDINATEUR
La formation proposée dans la spécialité Génie Electrique de la FST de Tanger a pour but de fournir au futur ingénieur en Génie Electrique tous les éléments indispensables à son insertion harmonieuse dans le monde industriel. Les enseignements associent théorie et techniques, expérimentation, projets et réalisations.
Les enseignements dispensés sont répartis en quatre groupes de matières : des enseignements à caractère général, des disciplines fondamentales, un enseignement professionnel et une formation pratique par le biais de projets et de stages.
Semestre 1
• Mathématiques pour l’Ingénieur
• Informatique
• Électronique
• Instrumentation et Capteurs
• Energétique et MDF
• Communication professionnelle
Semestre 2
• Ingénierie de la Qualité
• Automatique linéaire continue et échantillonné
• Conception et Procédés de fabrication
• Automatisme
• Culture et Gestion de l’entreprise
• Anglais Technique
Semestre 3
• Mathématiques pour l’ingénieur II
• Électrotechnique
• Traitement de signal
• Les sources d’énergies et réseaux de distribution
• Machines Industrielles
• GRH & Droit du travail
Semestre 4
• Gestion et Maintenance & Sûreté de fonctionnement
• Machines électriques
• Électronique de puissance
• Systèmes à Microprocesseurs et à Microcontrôleurs
• Soft Skills
• Analyse Gestion de projets/ Comptabilité générale et analytique
Semestre 5
• Modélisation et Commande des machines
• Amélioration des processus industriels et Assurance Qualité
• Automatique Avancée et électronique des systèmes
• Systèmes embarqués et Temps réel
• Réseaux et Télécommunication
• Innovation et Développement Durable
Semestre 6
• Projet de fin d’étude
La formation proposée vise à préparer les futurs ingénieurs dans les aspects principaux de génie électrique et management industriel.
La production, la distribution, la transformation et l'utilisation de l'énergie électrique. la conception et la mise en oeuvre d'ensembles formés par les machines électriques et les convertisseurs qui les alimentent;
L'automatique et tous les aspects qui interviennent dans la commande des systèmes industriels;Dans la partie électronique, les systèmes sont étudiés du point de vue de leur conception, réalisation et mise en oeuvre.
La gestion de la maintenance, l’ingénierie de la qualité et l’amélioration des processus industriels et assurance qualité
DÉBOUCHÉS
Ingénieur électronicien, électrotechnicien, automaticien et/ou manager
Ingénieur de recherche
Ingénieur d'études
Ingénieur des méthodes et des essais
Ingénieur de fabrication
Ingénieur logistique
Ingénieur technico-commercial ou d'affaires
Coordinnateur pédagogique
: Pr. Ibrahim HADJ BARAKA           :  ihadjbaraka@uae.ac.ma"
DI : Génie Industriel – FST,"OBJECTIFS
PROGRAMME
COMPETENCES VISEES ET DEBOUCHES
COORDINATEUR
Acquérir de solides compétences dans les domaines des sciences et des technologies ;
Disposer d'un potentiel de créativité et d'innovation ;
Disposer d'aptitudes à conduire, à maîtriser, à organiser et à faire évoluer des procédés et des processus industriels ;
Être capable de conduire, de diriger et de réaliser des projets industriels ;
Maîtriser l'évolution des technologies ;
Être capable de s’insérer et d’évoluer professionnellement dans les services techniques et scientifiques des entreprises
Semestre 1
• Mathématiques pour l’Ingénieur
• Programmation C++ / JAVA
• Automatique linière continue et échantillonné
• Électronique
• Énergétique et mécanique des fluides
• Techniques d’expression et de communication
Semestre 2
• Systèmes d’informations et base de données
• Électricité industrielle
• Automatisme
• Conception & Procédés de Fabrication
• Métrologie et Instrumentation
• Culture et Gestion de l’Entreprise
Semestre 3
• Méthodes Numériques et Optimisation des Processus
• Électrotechnique et Machines Électriques
• Automatique linéaire continue et échantillonné
• Anglais Scientifique
• Machines Industrielles
• RDM et Matériaux
Semestre 4
• Fiabilité Mécanique
• Construction Mécanique
• Fabrication Mécanique
• Gestion de la Maintenance & Sûreté de fonctionnement
• Ingénierie Matériaux & Vibrations Mécaniques
• Communication professionnelle
Semestre 5
• Gestion de Production et management de projet
• GRH et Comptabilité Analytique
• QSE et Laen Manufacturing
• Outils de la Qualité et six sigma
• Logistique, Gestion intégrée & transport
• Innovation Et développement durable
Semestre 6
• Projet de fin d’étude
L'activité de l'ingénieur industriel s'étend des premiers contacts avec les clients jusqu'au recyclage du produit qu'il a conçu. Il assumera donc la responsabilité technique, économique et écologique de son projet. L’ingénieur mécanicien intervient dans différents domaines d’activités : automobile, sidérurgie, aéronautique, machines outils, biens de consommation, agroalimentaire.
L’ingénieur mécanicien s’intègre facilement au sein d’une PME qu’au sein d’une grande entreprise. Dans ces secteurs d’activités il occupera des postes clés dans les domaines suivants: Recherche et développement, Bureaux d’Etudes, Conception et Fabrication, Services Production, Qualité, Maintenance, Services Logistiques, Responsable projet et développement, Vente, Mise en service, Exploitation, Gestion et administration, Formation.
Coordinnateur pédagogique
: Pr. Zoubir ELFELSOUFI
:  zefelsoufi@uae.ac.ma"
DI: Géoinformation – FST,"OBJECTIFS
PROGRAMME
COMPETENCES VISEES ET DEBOUCHES
COORDINATEUR
Le principal objectif de cette filière est de former des ingénieurs ""géo-informaticiens cartographes gestionnaires de l’information spatiale"" polyvalents, qui s'intéressent prioritairement à l'organisation, au traitement, à la gestion et à la production des données géographiques et environnementales au moyen de la cartographie, de la télédétection, de l'analyse spatiale quantitative et des systèmes d'informations géographiques.
Ce programme permet à l'étudiant d’acquérir les connaissances et les compétences en géo-information et les technologies de l’information requises pour la mise en place d’infrastructures informatiques de pointe au service de la donnée géo-spatiale.
Pour atteindre cet objectif, le programme s’appui sur une démarche active de prise en main des méthodes et outils de la géo-information résolument tournée vers les applications. Ils combinent des cours théoriques et pratiques incluant aussi des travaux de terrain et des travaux personnels encadrés, des études de cas de montage et de conduite de projets, des applications opérationnelles et des stages en milieux professionnels.
Semestre 1
• Algorithmique et programmation
• Compléments de mathématique et Analyse numérique
• Statistique/Analyse des données
• Bases physiques de la télédétection/Traitement du signal
• Communication professionnelle
• Systèmes d’information et réseaux informatique
Semestre 2
• Cartographie numérique et DAO
• Programmation et modélisation Objet
• Information géographique et systèmes de projection
• Géométrie analytique et algorithmique
• Anglais 1
• Optimisation et analyse de systèmes
Semestre 3
• Géodésie/Localisation par satellite (GPS)
• Topographie
• Bases de données  spatiales et relationnelles
• Communication professionnelle/Méthode de recherche
• Méthode d’analyse spatiales
• Systèmes d’information géographique
Semestre 4
• Télédétection Radar/Lidar
• Télédétection et traitement d’images optique
• Photogrammétrie
• Programmation pour les SIG et pour la télédétection
• Anglais 2
• Wabemapping & Développement mobile
Semestre 5
• Systèmes de Management de la qualité/Gestion del’entreprise & des ressources
• Géoinformation et gestion de l’environnement et du territoire
• SIG et prise de décision
• Gestion et management de projet en Géoinformation
• Gestion des réseaux et développement socioéconomique
• Administration des données spatiales
Semestre 6
• Projet de fin d’étude
La filière forme pour des profils de :
Chef de projet informatique
Administrateur de données
Directeur de service cartographique
Expert en acquisition et traitement de données spatiales
Ingénieur adjoint en Gestion des réseaux (transport, distribution..)
Expert en aménagement et développement durable
Chef de mission géodésique et topographique…etc
Coordinnateur pédagogique
: Pr.Jamal Eddine EL ABDELLAOUI           :  j.elabdellaoui@uae.ac.ma"
DI: Logiciels et Systèmes Intelligents – FST,"OBJECTIFS
PROGRAMME
COMPETENCES VISEES ET DEBOUCHES
COORDINATEUR
Former des ingénieurs capables de :
Comprendre les enjeux des techniques de l’information
Proposer et construire des solutions informatiques et décisionnelles compétitives et réalistes
Intervenir sur des problématiques informatiques complexes
Piloter des projets informatiques et les changements qu'ils entraînent.
Semestre 1
• Architecture des ordinateurs & systèmes d'exploitation
• Architecture réseaux & protocoles
• Systèmes d’informations & bases de données
• Programmation Orientée Objets en C++
• Mathématiques pour l’ingénieur
• Anglais et techniques de rédaction
Semestre 2
• Programmation Orientée Objets en Java et Programmation Mobile
• Développement web et Frameworks (php, zend, symfony
• Théorie des graphes & Applications
• Conception Orienté Objet (UML) & Qualité Logiciel
• Statistique descriptive et inférentielle
• Management & comptabilité
Semestre 3
• Systèmes embarqués & Internet des objets
• Gestion de projet Informatique & Planification des ressources d'entreprise (open ERP)
• Administration des bases de données
• Méthodologies de l'Intelligence Artificielle
• Architectures web distribuées (J2EE)
• Anglais Avancée & Techniques d'exposition
Semestre 4
• Systèmes d’informations décisionnels & data mininig
• Technologies .NET
• Machine Learning & Systèmes multi-agents
• Administration systèmes et réseaux
• Procesus audit & Urbanisation des systèmes d’informations
• Droit & gestion d'entreprise
Semestre 5
• Business Intelligence & Big Data
• Vision Artificielle
• Sécurité Intelligente des Systèmes d’informations
• Cloud Intelligence & virtualisation
• Intelligence économique & Soft Skills
• Anglais professionnel & techniques de coaching
Semestre 6
• Projet de fin d’étude
COMPÉTENCES VISÉES :
Concevoir et développer des plates formes logiciels desktop, logiciel et mobile
Concevoir et mettre en place des systèmes d’aide à la décision
Administrer une infrastructure informatique
Gérer et conduire un projet informatique
DÉBOUCHÉS :
Ingénierie logicielle
Ingénierie de réseaux d’entreprises
Intégration des systèmes d’aide à la décision
Administrateur Systèmes et réseaux
Concepteur des plateformes décisionnelles
Coordinnateur pédagogique
: Pr.Lotfi EL AACHAK
:  lelaachak@uae.ac.ma"
